LINE_RATE,N,D,S,X,U,W,OUTPUT_QUEUE_DEPTH,MULTICAST_SUPPORT,clk,part_number,Slices/CLBs,Slices/CLBs %,Slice/CLB LUTs,Slice/CLB LUTs %,LUT as Memory,LUT as Memory %,Slice/CLB Regs,Slice/CLB Regs %,BRAMs,BRAMs%,URAMs,URAMs%,DSPs,DSPs %,WNS(ns),TNS(ns),NNS,WHS(ns),THS(ns),NHS,Timing Status
25,8,4096,8,512,1,72,32,0,2.88,xcku3p-ffvb676-3-e,1174,4.33,4391,2.70,994,1.00,7035,2.16,10,2.78,8,16.67,0,0.00,0.517,0.000,0,0.032,0.000,0,Met
25,16,4096,8,512,1,72,32,0,2.88,xcku3p-ffvb676-3-e,2846,10.49,10143,6.23,2762,2.77,18715,5.75,36,10.00,16,33.33,0,0.00,0.518,0.000,0,0.028,0.000,0,Met
25,24,4096,8,512,1,72,32,0,2.88,xcvu3p-ffvc1517-3-e,4961,10.07,17935,4.55,5279,2.68,31298,3.97,78,10.83,24,7.50,0,0.00,0.452,0.000,0,0.009,0.000,0,Met
25,32,4096,8,512,1,72,32,0,2.88,xcvu3p-ffvc1517-3-e,6825,13.86,25403,6.45,7028,3.56,47246,5.99,104,14.44,32,10.00,0,0.00,0.387,0.000,0,0.011,0.000,0,Met
25,40,4096,8,512,1,72,32,0,2.88,xcvu3p-ffvc1517-3-e,9964,20.23,39280,9.97,10833,5.49,70465,8.94,170,23.61,40,12.50,0,0.00,0.240,0.000,0,0.012,0.000,0,Met
25,48,4096,8,512,1,72,32,0,2.88,xcvu5p-flvc2104-3-e,12883,13.08,49499,8.24,12990,3.29,92810,7.73,204,19.92,48,10.21,0,0.00,0.173,0.000,0,0.012,0.000,0,Met
25,56,4096,8,512,1,72,32,0,2.88,xcvu5p-flvc2104-3-e,16873,17.13,59904,9.97,17795,4.51,115609,9.62,294,28.71,56,11.91,0,0.00,0.081,0.000,0,0.006,0.000,0,Met
25,64,4096,8,512,1,72,32,0,2.88,xcvu5p-flvc2104-3-e,20092,20.39,71737,11.94,20328,5.15,143114,11.91,336,32.81,64,13.62,0,0.00,0.093,0.000,0,0.012,0.000,0,Met
25,72,4096,8,512,1,72,32,0,2.88,xcvu5p-flvc2104-3-e,24587,24.96,93295,15.53,25662,6.50,186663,15.54,468,45.70,72,15.32,0,0.00,0.009,0.000,0,0.006,0.000,0,Met
25,80,4096,8,512,1,72,32,0,2.88,xcvu5p-flvc2104-3-e,27814,28.23,107506,17.90,28500,7.22,221145,18.41,520,50.78,80,17.02,0,0.00,0.041,0.000,0,0.004,0.000,0,Met
25,88,4096,8,512,1,72,32,0,2.88,xcvu9p-flga2577-3-e,34202,23.14,125127,10.58,35498,6.00,254843,10.78,660,30.56,88,9.17,0,0.00,0.017,0.000,0,0.007,0.000,0,Met
25,96,4096,8,512,1,72,32,0,2.88,xcvu9p-flga2577-3-e,39801,26.93,141129,11.94,38712,6.54,294448,12.45,720,33.33,96,10.00,0,0.00,0.019,0.000,0,0.003,0.000,0,Met
25,104,4096,8,512,1,72,32,0,2.88,xcvu9p-flga2577-3-e,47533,32.16,164454,13.91,46838,7.91,340555,14.40,884,40.93,104,10.83,0,0.00,0.023,0.000,0,0.003,0.000,0,Met
25,112,4096,8,512,1,72,32,0,2.88,xcvu13p-flga2577-3-e,54641,25.30,182004,10.53,50428,6.37,385924,11.17,952,35.42,112,8.75,0,0.00,0.015,0.000,0,0.002,0.000,0,Met

25,120,4096,8,512,1,72,32,0,2.88,xcvu13p-flga2577-3-e,60616,28.06,204775,11.85,59682,7.54,429352,12.42,1140,42.41,120,9.38,0,0.00,-0.813,-1332.128,6801,0.006,0.000,0,Not Met
25,128,4096,8,512,1,72,32,0,2.88,xcvu13p-flga2577-3-e,65979,30.55,224662,13.00,63648,8.05,479889,13.89,1216,45.24,128,10.00,0,0.00,-2.154,-4231.636,13577,0.010,0.000,0,Not Met



25,8,4096,8,64,1,144,32,0,3.08,xcku3p-ffvb676-3-e,1907,7.03,6551,4.03,1586,1.59,11733,3.61,10,2.78,16,33.33,0,0.00,0.437,0.000,0,0.032,0.000,0,Met
25,16,4096,8,64,1,144,32,0,3.08,xcku3p-ffvb676-3-e,5447,20.08,17620,10.83,5978,5.99,36053,11.08,20,5.56,32,66.67,0,0.00,0.270,0.000,0,0.023,0.000,0,Met
25,24,4096,8,64,1,144,32,0,3.08,xcvu3p-ffvc1517-3-e,9600,19.49,32939,8.36,13151,6.67,65736,8.34,30,4.17,48,15.00,0,0.00,0.255,0.000,0,0.003,0.000,0,Met
25,32,4096,8,64,1,144,32,0,3.08,xcvu3p-ffvc1517-3-e,14271,28.97,46424,11.78,17524,8.88,97790,12.41,40,5.56,64,20.00,0,0.00,0.061,0.000,0,0.005,0.000,0,Met
25,40,4096,8,64,1,144,32,0,3.08,xcvu3p-ffvc1517-3-e,20542,41.70,70383,17.86,29033,14.72,153449,19.47,50,6.94,80,25.00,0,0.00,0.086,0.000,0,0.003,0.000,0,Met
25,48,4096,8,64,1,144,32,0,3.08,xcvu5p-flvc2104-3-e,24504,24.87,88532,14.74,34830,8.83,199320,16.59,60,5.86,96,20.43,0,0.00,0.036,0.000,0,0.003,0.000,0,Met
25,56,4096,8,64,1,144,32,0,3.08,xcvu5p-flvc2104-3-e,33008,33.50,113922,18.97,50387,12.77,259560,21.61,70,6.84,112,23.83,0,0.00,0.013,0.000,0,0.003,0.000,0,Met
25,64,4096,8,64,1,144,32,0,3.08,xcvu5p-flvc2104-3-e,40138,40.74,135630,22.58,57576,14.59,316856,26.38,80,7.81,128,27.23,0,0.00,-0.027,-0.106,11,0.003,0.000,0,Not Met


25,64,8192,8,512,1,72,32,0,2.88,xcvu9p-flga2577-3-e,19611,13.27,71876,6.08,20328,3.43,148118,6.26,412,19.07,128,13.33,0,0.00,0.083,0.000,0,0.012,0.000,0,Met
25,64,8192,8,512,1,72,32,0,2.88,xcvu9p-flga2577-3-e,19611,13.27,71876,6.08,20328,3.43,148118,6.26,412,19.07,128,13.33,0,0.00,0.083,0.000,0,0.012,0.000,0,Met
25,64,4096,8,64,1,72,32,0,2.67,xcvu9p-flga2577-3-e,22172,15.00,80004,6.77,31336,5.29,177675,7.51,80,3.70,64,6.67,0,0.00,0.148,0.000,0,0.003,0.000,0,Met
25,64,4096,8,64,1,72,512,0,2.67,xcvu9p-flga2577-3-e,21641,14.64,78398,6.63,27752,4.69,168969,7.15,176,8.15,64,6.67,0,0.00,0.160,0.000,0,0.003,0.000,0,Met
25,64,4096,8,64,1,72,512,0,2.5,xcvu9p-flga2577-3-e,20852,14.11,78876,6.67,27752,4.69,168966,7.15,176,8.15,64,6.67,0,0.00,0.125,0.000,0,0.003,0.000,0,Met
25,64,4096,8,64,1,72,512,0,2.35,xcvu9p-flga2577-3-e,21327,14.43,78861,6.67,27752,4.69,168965,7.15,176,8.15,64,6.67,0,0.00,0.070,0.000,0,0.002,0.000,0,Met
25,64,8192,8,64,1,72,512,0,2.35,xcvu9p-flga2577-3-e,21248,14.38,78000,6.60,27752,4.69,173970,7.36,260,12.04,128,13.33,0,0.00,0.008,0.000,0,0.003,0.000,0,Met
25,64,4096,8,512,1,72,512,0,2.5,xcvu9p-flga2577-3-e,19757,13.37,71319,6.03,16744,2.83,134412,5.68,432,20.00,64,6.67,0,0.00,0.167,0.000,0,0.007,0.000,0,Met

15,12,512,8,64,1,32,32,1,2.1333,xcau10p-ffvb676-2-e,1539,15.83,6151,13.98,1574,3.90,10639,12.09,14,14.00,NA,NA,0,0.00,0.003,0.000,0,0.008,0.000,0,Met
15,12,1024,8,64,1,32,32,1,2.1333,xcau10p-ffvb676-2-e,1614,16.60,6140,13.95,1574,3.90,10749,12.21,23,23.00,NA,NA,0,0.00,0.062,0.000,0,0.012,0.000,0,Met
15,12,2048,8,64,1,32,32,1,2.1333,xcau10p-ffvb676-2-e,1769,18.20,6180,14.05,1574,3.90,10865,12.35,45,45.00,NA,NA,0,0.00,-0.092,-1.382,33,0.017,0.000,0,Not Met

25,64,4096,8,512,1,72,512,0,2.5,xcvu9p-flga2577-3-e,19757,13.37,71319,6.03,16744,2.83,134412,5.68,432,20.00,64,6.67,0,0.00,0.167,0.000,0,0.007,0.000,0,Met
25,64,4096,8,64,1,72,512,0,2.35,xcvu9p-flga2577-3-e,21327,14.43,78861,6.67,27752,4.69,168965,7.15,176,8.15,64,6.67,0,0.00,0.070,0.000,0,0.002,0.000,0,Met
25,64,8192,8,64,1,72,512,0,2.35,xcvu9p-flga2577-3-e,21248,14.38,78000,6.60,27752,4.69,173970,7.36,260,12.04,128,13.33,0,0.00,0.008,0.000,0,0.003,0.000,0,Met
25,64,16384,8,64,1,72,512,0,2.35,xcvu9p-flga2577-3-e,22859,15.47,77976,6.60,27768,4.69,174378,7.37,448,20.74,256,26.67,0,0.00,-0.038,-0.450,35,0.003,0.000,0,Not Met
